num_second_hand,link,district,area,house_name,address,avg_price,build_year,builder_type,builder,num_building,num_house
15,https://sz.lianjia.com/xiaoqu/2411049482181/,福田区,景田,第壹世界广场,福田区景田红荔西路7002,60579,2002,塔板结合,深圳市昱峰投资发展有限公司,2,490
4,https://sz.lianjia.com/xiaoqu/2411049485815/,福田区,景田,景桦花园,福田区景田商报路1号,72013,1997,塔板结合,深圳置兴实业发展有限公司,4,336
15,https://sz.lianjia.com/xiaoqu/2411048675826/,福田区,景田,安栢丽晶,福田区景田景田南五街6012号,82193,2000,塔板结合,深圳市祈年实业发展有限公司,4,607
9,https://sz.lianjia.com/xiaoqu/2411049454978/,福田区,景田,华茂欣园,福田区景田红荔路7001号,65484,2004,塔板结合,深圳市新兴华茂实业有限公司,2,305
0,https://sz.lianjia.com/xiaoqu/2411049488970/,福田区,景田,莲兴苑,福田区景田商报东路85-1,49831,1995,塔楼,暂无资料,1,64
2,https://sz.lianjia.com/xiaoqu/2411049458813/,福田区,景田,景田北村,福田区景田商报东路149号,119943,1994,板楼,深圳市住建局,8,436
0,https://sz.lianjia.com/xiaoqu/2410996760982236/,福田区,景田,景田燃气综合楼,福田区景田莲花路2032号,58074,1996,板楼,深圳鸿荣源房地产开发有限公司,1,48
3,https://sz.lianjia.com/xiaoqu/2411049467767/,福田区,景田,香蜜二村,福田区景田景田南路42号,98832,1992,塔楼/塔板结合,深圳市天健房地产开发有限公司,16,679
10,https://sz.lianjia.com/xiaoqu/2411048675989/,福田区,景田,东方玫瑰花园,福田区景田香梅路1018-8号,90216,1999,板楼/塔板结合,深圳市华业投资开发有限公司,21,803
5,https://sz.lianjia.com/xiaoqu/2411049489604/,福田区,景田,新景苑,福田区景田商报东路37号,67243,1996,塔板结合,深圳市福田房地产开发公司,3,147
1,https://sz.lianjia.com/xiaoqu/2411049487817/,福田区,景田,茗香苑,福田区景田景田北路82号,70179,1999,塔板结合,深圳市中国茶宫房地产开发有限公司,3,323
0,https://sz.lianjia.com/xiaoqu/24000000000381/,福田区,景田,英龙商务大厦,福田区景田商报东路13号,,暂无信息,未知类型,暂无信息,1,37
2,https://sz.lianjia.com/xiaoqu/2411063457606/,福田区,景田,惠翔苑,福田区景田景田路13号,55490,1997,板楼,深圳市泰源物业管理有限公司香梅市场管理处,4,150
4,https://sz.lianjia.com/xiaoqu/2411049452621/,福田区,景田,东景花园,福田区景田新闻路2号,56042,1995,塔板结合,深圳市东部开发（集团）有限公司,2,350
1,https://sz.lianjia.com/xiaoqu/248940462550386/,福田区,景田,华富综合楼,福田区景田深圳市福田区景田东路20号,73709,1995,塔楼,深圳市天健（集团）股份有限公司,1,36
0,https://sz.lianjia.com/xiaoqu/2420039489881205/,福田区,景田,天健·天骄,福田区景田景田西路天健·天骄,,暂无信息,塔楼,深圳市天健房地产开发实业有限公司,3,486
3,https://sz.lianjia.com/xiaoqu/2411048677013/,福田区,景田,紫荆苑,福田区景田景田东路3号,76143,1997,塔板结合,深圳市龙园山庄实业发展有限公司,7,228
4,https://sz.lianjia.com/xiaoqu/2411049505324/,福田区,景田,景发花园,福田区景田莲花路2077号,67633,1995,塔板结合,深圳市建业房地产开发有限公司,4,479
7,https://sz.lianjia.com/xiaoqu/2411048490479/,福田区,皇岗,水围龙轩豪庭,福田区皇岗水围街33号,81172,2011,塔板结合,深圳市华嵘世纪投资有限公司,2,586
6,https://sz.lianjia.com/xiaoqu/2411048740491/,福田区,皇岗,江南名苑,福田区皇岗丹桂路50号,68446,1998,塔板结合,深圳市祈年实业发展有限公司,6,360
5,https://sz.lianjia.com/xiaoqu/2411048544005/,福田区,皇岗,瑞昌大厦,福田区皇岗福强路1008号,61981,1994,塔板结合,瑞昌地产开发(深圳)有限公司,2,256
16,https://sz.lianjia.com/xiaoqu/2411049487836/,福田区,景田,景鹏大厦,福田区景田商报东路131号,60751,1997,塔楼,深圳住宅局,4,929
13,https://sz.lianjia.com/xiaoqu/2411050292465/,福田区,皇岗,港城华庭,福田区皇岗裕亨路7号,68606,2002,塔板结合,深圳市裕亨实业股份有限公司,3,671
3,https://sz.lianjia.com/xiaoqu/2411048542754/,福田区,皇岗,福业大厦,福田区皇岗福强路1010号,53843,1999,塔板结合,福意开发有限公司,1,102
