city,company_name,finance_status,registered_capital,recruit,field,location,latitude,longitude
深圳,深圳市明世弘生电子科技有限公司,未融资,1000万人民币,50-99人,汽车/摩托车,龙岗区彩云一路鑫潮工业园,22.704808,114.243214
上海-闵行区,上海裕佳塑料有限公司,未融资,1000万人民币,50-99人,原材料加工,闵行区顾戴路2337号B栋2楼C区,31.112813,121.381709
上海-松江区,特殊陶业实业(上海)有限公司,未融资,2000万人民币,100-499人,汽车/摩托车,松江工业区松胜路736号,31.024151,121.27787
广州,广州恩宇自动化控制设备有限公司,未融资,300万人民币,1-49人,原材料加工,广州市番禺区大龙街金岗路1号之101,22.956981,113.400552
上海-静安区,简单车(上海)信息科技有限公司,,500万人民币,50-99人,汽车/摩托车,招商局广场南楼24楼2408,31.227778,121.466298
广州-黄埔区,广州国利实业有限公司,未融资,5000万人民币,100-499人,汽车/摩托车,萝岗开发区火村西规划路,23.148933,113.505051
广州-黄埔区,广州花语精细化工有限公司,未融资,320万人民币,100-499人,原材料加工,九龙工业园凤凰三路12号,23.393124,113.49688
上海-闵行区,美安士工业科技(上海)有限公司,,1000万人民币,1-49人,机械设备制造,元江路525号6号楼503室,31.112813,121.381709
上海,上海徕狄机器人科技有限公司,未融资,900万人民币,1-49人,机械/机电/重工,松江区小昆山镇中德路669号3栋,31.017623,121.133904
广州-黄埔区,广州斐索建材有限公司,未融资,1402.5万人民币,1-49人,原材料加工,广州经济技术开发区开创大道810号,23.138994,113.530955
北京,北京金迈捷科技有限公司,未融资,1555.555556万人民币,50-99人,军工产品,亦庄经海二路29号院7号楼,39.804487,116.531979
北京-朝阳区,凯瑟尔(天津)排水设备有限公司,未融资,367.5万人民币,50-99人,机械/机电/重工,东三环北路8号亮马河大厦,39.94577,116.464526
上海,德马吉森精机机床贸易有限公司,未融资,8609.5万人民币,100-499人,机械/机电/重工,银都西路178号,31.08297,121.366971
上海,上海硅莱实业有限公司,未融资,100万人民币,50-99人,仪器/电气/自动化,上海市青浦工业园区崧煌路999号6幢2楼,31.16355,121.1641
上海-青浦区,安迈工程设备(上海)有限公司,,4221.0万人民币,100-499人,机械/机电/重工,汇滨路1609号,31.172104,121.16045
